Styrk code;Styrk description;Category level 1;Category level 2
0;Ikke konvertert;Uoppgitt/ ikke identifiserbare;Ikke identifiserbare
110;Offiserer fra fenrik og høyere grad;Sikkerhet og beredskap;Forsvar/militære
210;Befal med sersjant grad;Sikkerhet og beredskap;Forsvar/militære
310;Menige;Sikkerhet og beredskap;Forsvar/militære
1111;Politikere;Kontor og økonomi;Organisasjonsarbeid og politikk
1112;Toppledere i offentlig administrasjon;Kontor og økonomi;Ledelse, administrasjon og rådgivning
1114;Toppledere i interesseorganisasjoner;Kontor og økonomi;Organisasjonsarbeid og politikk
1120;Administrerende direktører;Kontor og økonomi;Ledelse, administrasjon og rådgivning
1211;Finans- og økonomisjefer;Kontor og økonomi;Bank finans forsikring
1212;Personalsjefer;Kontor og økonomi;Ledelse, administrasjon og rådgivning
1213;Strategi- og planleggingssjefer;Kontor og økonomi;Ledelse, administrasjon og rådgivning
1219;Andre administrative ledere;Kontor og økonomi;Ledelse, administrasjon og rådgivning
1221;Salgs- og markedssjefer;Salg og service;Salg, butikk- og varehandel
1222;PR- og informasjonssjefer;Salg og service;Markedsføring og reklame
1223;Forsknings- og utviklingsledere;Utdanning ;Forskningsarbeid
1311;Ledere innen skogbruk, gartnerier mv.;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
1312;Ledere innen akvakultur mv.;Natur og miljø;Fiske, fangst og oppdrett
1321;Ledere av industriproduksjon mv.;Industri og produksjon;Arbeidsleder, industri
1322;Ledere av olje- og gassutvinning mv;Industri og produksjon;Olje, gass og bergverk
1323;Ledere av bygge- og anleggsvirksomhet;Bygg og anlegg;Arbeidsleder, bygg og anlegg
1324;Ledere av logistikk og transport mv.;Transport og lager;Logistikk, lagerarbeid og innkjøp
1330;Ledere av IKT-enheter;IT;Ledere av IKT-enheter
1341;Ledere av omsorgstjenester for barn;Utdanning;SFO og fritidsleder
1342;Ledere av helsetjenester;Helse og sosial;Leder innenfor helsetjenester
1343;Ledere av eldreomsorg;Helse og sosial;Leder innenfor helsetjenester
1344;Ledere av sosialomsorg;Helse og sosial;Leder innenfor helsetjenester
1345;Ledere av utdanning og undervisning;Utdanning ;Ledere av undervisning og utdanning
1346;Ledere av forsikring og finansvirksomhet;Kontor og økonomi;Bank finans forsikring
1349;Andre ledere av produksjon og tjenesteyting;Salg og service;Personlig tjenesteyting
1411;Hotellsjefer;Reiseliv og mat;Reiseliv, hotell og overnatting
1412;Restaurantsjefer;Reiseliv og mat;Restaurant
1420;Varehandelssjefer;Salg og service;Salg, butikk- og varehandel
1431;Sports-, rekreasjons- og kultursenterledere;Kultur og kreative yrker;Fritid
1439;Andre daglige ledere i tjenesteytende virksomheter;Salg og service;Personlig tjenesteyting
2111;Fysikere og astronomer;Industri og produksjon;Fysikk, kjemi og metallurgi
2112;Meteorologer;Natur og miljø ;Naturvitenskapelige yrker
2113;Kjemikere;Industri og produksjon;Fysikk, kjemi og metallurgi
2114;Geologer og geofysikere;Natur og miljø ;Naturvitenskapelige yrker
2120;Matematikere, statistikere mv.;Kontor og økonomi;Økonomi, statistikk og regnskap
2131;Biologer, botanikere, zoologer mv.;Natur og miljø ;Biologer, zoologer, botanikere
2132;Sivilagronomer mv.;Natur og miljø ;Jordbruk og dyrehold
2133;Miljøvernrådgivere;Natur og miljø ;Miljøvern
2141;Sivilingeniører (industri og produksjon);Industri og produksjon;Fysikk, kjemi og metallurgi
2142;Sivilingeniører (bygg og anlegg);Bygg og anlegg;Ingeniør bygg
2143;Sivilingeniører (miljøteknikk);Bygg og anlegg;Ingeniør miljøteknikk
2144;Sivilingeniører (maskin- og marinteknikk);Industri og produksjon;Maskinteknikk og mekanikk
2145;Sivilingeniører (kjemi);Industri og produksjon;Fysikk, kjemi og metallurgi
2146;Sivilingeniører (geofag, petroleums-teknologi, metallurgi mv.);Industri og produksjon;Olje, gass og bergverk
2149;Andre sivilingeniører( unntatt elektroteknologi);Utdanning;Forskningsarbeid
2151;Sivilingeniører (elkraftteknikk);Industri og produksjon;Elektro/elektronikk
2152;Sivilingeniører (elektronikk);Industri og produksjon;Elektro/elektronikk
2153;Sivilingeniører (telekommunikasjon);Industri og produksjon;Elektro/elektronikk
2161;Sivilarkitekter;Bygg og anlegg;Arealplanlegging og arkitektur
2162;Landskapsarkitekter;Bygg og anlegg;Arealplanlegging og arkitektur
2163;Produkt- og klesdesignere;Kultur og kreative yrker;Design, grafisk arbeid og illustrasjon
2164;Arealplanleggere;Bygg og anlegg;Arealplanlegging og arkitektur
2165;Landmålere, kartografer mv.;Bygg og anlegg;Arealplanlegging og arkitektur
2166;Grafiske og multimediadesignere;IT;Interaksjonsdesign
2211;Allmennpraktiserende leger;Helse og sosial;Lege
2212;Legespesialister;Helse og sosial;Lege
2221;Spesialsykepleiere;Helse og sosial;Sykepleier
2222;Jordmødre;Helse og sosial;Sykepleier
2223;Sykepleiere;Helse og sosial;Sykepleier
2224;Vernepleiere;Helse og sosial;Helse
2250;Veterinærer;Natur og miljø ;Veterinærer og dyrepleiere
2261;Tannleger;Helse og sosial;Tannhelse/-pleie
2262;Farmasøyter;Helse og sosial;Farmasøytisk og apotekerarbeid
2263;Helse- og miljørådgivere;Helse og sosial;Helse
2264;Fysioterapeuter;Helse og sosial;Psykologer og terapeuter
2265;Ernæringsfysiologer;Helse og sosial;Psykologer og terapeuter
2266;Audiografer og logopeder;Helse og sosial;Psykologer og terapeuter
2267;Ergoterapeuter;Helse og sosial;Psykologer og terapeuter
2269;Kiropraktorer mv.;Helse og sosial;Psykologer og terapeuter
2310;Universitets- og høyskolelektorer/-lærere;Utdanning ;Universitet og høyskole
2320;Yrkesfaglærere;Utdanning ;Videregående skole
2330;Lektorer mv. i videregående skole;Utdanning ;Videregående skole
2341;Grunnskolelærere;Utdanning ;Barnehage og grunnskole
2342;Førskolelærere;Utdanning ;Barnehage og grunnskole
2351;Spesialister i pedagogikk;Utdanning;Instruktører  og pedagoger
2352;Spesiallærere/spesialpedagoger;Utdanning;Instruktører  og pedagoger
2353;Andre språklærere;Utdanning ;Barnehage og grunnskole
2354;Andre musikklærere;Utdanning ;Barnehage og grunnskole
2355;Andre lærere i estetiske fag;Utdanning ;Barnehage og grunnskole
2356;Andre IKT-lærere;Utdanning ;Barnehage og grunnskole
2359;Andre lærere;Utdanning ;Barnehage og grunnskole
2411;Revisorer og regnskapsrådgivere;Kontor og økonomi;Økonomi, statistikk og regnskap
2412;Finans- og investeringsrådgivere;Kontor og økonomi;Bank finans forsikring
2413;Finansanalytikere;Kontor og økonomi;Bank finans forsikring
2421;Organisasjonsrådgivere;Kontor og økonomi;Personal, arbeidsmiljø og rekruttering
2422;Høyere saksbehandlere i offentlig og privat virksomhet;Kontor og økonomi;Kontor, forvaltning og saksbehandling
2423;Personal- og karriererådgivere;Kontor og økonomi;Personal, arbeidsmiljø og rekruttering
2424;Rådgivere innen kompetanseutvikling;Kontor og økonomi;Personal, arbeidsmiljø og rekruttering
2431;Reklame- og markedsføringsrådgivere;Salg og service;Markedsføring og reklame
2432;Informasjonsrådgivere;Kultur og kreative yrker;Journalistikk og litteratur
2433;Salgskonsulenter innen tekniske og medisinske produkter;Salg og service;Salg, butikk- og varehandel
2434;Salgskonsulenter innen IKT-produkter;Salg og service;Salg, butikk- og varehandel
2511;Systemanalytikere/-arkitekter;IT;Utvikling
2512;Programvareutviklere;IT;Utvikling
2513;Nett- og multimediautviklere;IT;Utvikling
2514;Applikasjonsprogrammerere;IT;Utvikling
2519;Andre programvare- og applikasjonsutviklere;IT;Utvikling
2521;Databasedesignere og -administratorer;IT;Drift, vedlikehold
2522;Systemadministratorer;IT;Drift, vedlikehold
2523;Nettverksansvarlige;IT;Drift, vedlikehold
2529;Sikkerhetsanalytikere mv.;IT;Utvikling
2611;Jurister og advokater;Kontor og økonomi;Juridisk arbeid
2612;Dommere;Kontor og økonomi;Juridisk arbeid
2619;Andre juridiske yrker;Kontor og økonomi;Juridisk arbeid
2621;Arkivarer og kuratorer;Kultur og kreative yrker;Museum, bibliotek
2622;Bibliotekarer og andre informasjonsarbeidere;Kultur og kreative yrker;Museum, bibliotek
2631;Rådgivere/forskere, samfunnsøkonomi;Utdanning ;Forskningsarbeid
2632;Rådgivere/forskere, samfunnsvitenskap;Utdanning ;Forskningsarbeid
